dir,# gen,age_less65_q00,age_65_q00,age_70_q00,age_75_q00,age_over80_q00,age_less65_q02,age_65_q02,age_70_q02,age_75_q02,age_over80_q02,age_less65_q04,age_65_q04,age_70_q04,age_75_q04,age_over80_q04,age_less65_q06,age_65_q06,age_70_q06,age_75_q06,age_over80_q06,age_less65_q08,age_65_q08,age_70_q08,age_75_q08,age_over80_q08,fitness,r2_all,r2_q00,r2_q02,r2_q04,r2_q06,r2_q08
randomseed00,33.0,1.3,1.2,1.332,1.237,1.2,1.026,1.145,1.151,1.041,1.1,1.0,1.0,0.988,0.938,1.0,0.862,0.9,0.945,0.938,0.937,0.8,0.9,0.732,0.832,0.874,238.372,0.5843650545856554,0.5027186616302943,0.5791470046185123,0.6160051794977764,0.5982448412476151,0.6069927057503568
randomseed01,33.0,1.1,1.3,1.305,1.3,1.231,1.1,1.1,1.1,1.023,1.1,1.0,1.0,1.0,1.0,1.0,0.969,0.9,0.9,0.892,0.9,0.837,0.849,0.8,0.8,0.894,238.507,0.5758824215568665,0.4715838849074877,0.5791470046185123,0.6160051794977764,0.5838240468117639,0.6069927057503568
randomseed02,43.0,1.273,1.308,1.175,1.2,1.214,0.981,1.1,1.103,1.1,1.131,0.949,0.987,1.046,1.0,1.0,0.949,0.979,0.896,0.9,0.9,0.844,0.773,0.861,0.8,0.88,238.037,0.5838304187265554,0.48543051855005115,0.5834662232771566,0.6160051794977764,0.6066830728478989,0.6069927057503568
randomseed03,28.0,1.171,1.3,1.327,1.186,1.3,1.1,1.198,1.1,1.1,1.1,1.042,1.0,1.0,1.0,0.971,0.881,0.9,0.894,1.0,0.9,0.8,0.771,0.808,0.7,0.9,239.49,0.5859925042908017,0.5084686259067775,0.5834662232771566,0.6314817008579213,0.6051162204560284,0.5803669900417054
randomseed04,39.0,1.2,1.2,1.25,1.225,1.293,1.1,1.1,1.11,1.069,1.1,0.976,1.019,1.0,1.0,0.961,0.925,0.904,0.9,0.915,0.91,0.8,0.9,0.844,0.8,0.879,238.453,0.5917690908331739,0.5084686259067775,0.5791470046185123,0.6314817008579213,0.6127828616664013,0.6069927057503568
randomseed05,19.0,1.261,1.24,1.2,1.2,1.3,1.033,1.1,1.075,1.06,1.067,1.0,1.0,1.0,1.023,1.0,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.8,0.876,238.254,0.5773545673787589,0.5020592383009681,0.5593119942247081,0.6160051794977764,0.5838240468117639,0.6069927057503568
randomseed06,23.0,1.2,1.304,1.2,1.1,1.3,1.132,1.1,1.1,1.093,1.046,1.0,1.0,1.0,1.021,1.0,0.951,0.886,0.9,0.9,0.9,0.69,0.859,0.9,0.842,0.9,239.641,0.579838453465421,0.5020592383009681,0.5716495050670601,0.6160051794977764,0.5838240468117639,0.6069927057503568
randomseed07,18.0,1.255,1.2,1.2,1.2,1.221,1.1,1.1,1.1,1.014,1.1,0.99,1.0,1.0,0.935,1.0,0.9,1.0,0.894,0.9,0.9,0.741,0.828,0.894,0.9,0.9,238.672,0.5829608391761465,0.48543051855005115,0.5791470046185123,0.6160051794977764,0.6066830728478989,0.6069927057503568
randomseed08,36.0,1.204,1.229,1.233,1.2,1.284,1.086,1.1,1.1,1.1,1.1,1.058,1.0,1.0,0.998,0.943,0.94,0.955,0.94,0.9,0.908,0.699,0.852,0.813,0.792,0.9,238.56,0.5917791722159709,0.5084686259067775,0.5834662232771566,0.6314817008579213,0.6085071986522512,0.6069927057503568
randomseed09,46.0,1.182,1.2,1.2,1.194,1.213,1.129,1.0,1.059,1.002,1.1,0.926,1.0,0.971,1.0,1.0,0.88,1.0,0.941,0.9,0.958,0.88,0.9,0.9,0.869,0.84,239.111,0.577870142419785,0.48543051855005115,0.5694267721709283,0.6160051794977764,0.5897383227395618,0.6084140051945757
randomseed10,26.0,1.299,1.359,1.267,1.2,1.2,0.994,1.068,1.144,1.1,1.1,0.932,1.0,1.0,1.0,1.0,0.932,0.9,0.9,0.9,0.9,0.851,0.831,0.8,0.8,0.9,238.809,0.5834836305495418,0.5091191926826808,0.5834662232771566,0.6160051794977764,0.5838240468117639,0.6069927057503568
randomseed11,28.0,1.244,1.2,1.256,1.2,1.296,1.071,1.1,1.068,1.054,1.1,1.0,1.0,0.925,1.0,0.941,0.9,0.928,0.925,0.869,0.9,0.784,0.897,0.897,0.86,0.9,239.041,0.5858255750360903,0.5084686259067775,0.5791470046185123,0.6309336455535735,0.5838240468117639,0.6069927057503568
randomseed12,25.0,1.239,1.327,1.2,1.183,1.3,1.0,1.006,1.09,1.1,1.168,0.985,1.0,1.0,1.0,1.0,0.907,1.0,0.982,0.9,0.865,0.887,0.798,0.8,0.8,0.859,240.334,0.5886415715857278,0.508693186374833,0.5834662232771566,0.6160051794977764,0.6085071986522512,0.6084140051945757
randomseed13,27.0,1.3,1.3,1.3,1.2,1.276,1.081,1.081,1.1,1.058,1.089,0.904,1.0,1.017,1.025,1.0,0.904,0.892,0.9,0.9,0.935,0.8,0.865,0.8,0.803,0.866,239.239,0.5883187082181214,0.5084686259067775,0.5791470046185123,0.6160051794977764,0.6127828616664013,0.6069927057503568
randomseed14,21.0,1.2,1.348,1.2,1.2,1.257,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0,0.994,0.987,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.884,0.8,0.877,239.222,0.5868576126559938,0.508693186374833,0.5834662232771566,0.6314817008579213,0.5838240468117639,0.6069927057503568
randomseed15,18.0,1.265,1.3,1.3,1.246,1.192,1.017,1.1,1.11,0.964,1.14,1.0,1.0,1.0,0.964,1.0,0.921,0.939,0.851,0.9,0.9,0.802,0.8,0.851,0.9,0.9,239.272,0.5814661716867682,0.5027186616302943,0.5791470046185123,0.6160051794977764,0.5838240468117639,0.6069927057503568
randomseed16,28.0,1.2,1.217,1.3,1.293,1.261,1.099,1.153,1.0,1.0,1.127,1.003,1.0,1.0,1.0,0.999,0.9,0.911,0.9,0.9,0.9,0.795,0.859,0.887,0.799,0.859,238.768,0.5819576986956414,0.5054593973936207,0.5791470046185123,0.6160051794977764,0.5838240468117639,0.6069927057503568
randomseed17,20.0,1.292,1.3,1.286,1.2,1.299,1.002,1.1,1.1,1.1,1.1,1.0,1.0,1.0,0.989,0.926,0.9,0.957,0.9,0.891,0.907,0.8,0.8,0.834,0.8,0.9,239.924,0.5914124845745112,0.5084686259067775,0.5834662232771566,0.6314817008579213,0.6066830728478989,0.6069927057503568
randomseed18,26.0,1.2,1.299,1.2,1.2,1.301,1.1,1.1,1.061,1.1,1.1,0.99,1.0,1.0,0.931,1.0,0.9,0.938,0.9,0.879,0.876,0.8,0.8,0.9,0.879,0.876,238.767,0.5822174894255198,0.5020592383009681,0.5834662232771566,0.6160051794977764,0.5838240468117639,0.6069927057503568
randomseed19,34.0,1.2,1.2,1.292,1.157,1.3,1.1,1.074,1.1,1.1,1.087,1.0,0.986,1.0,1.004,0.98,0.9,0.962,0.9,0.9,0.9,0.801,0.9,0.841,0.821,0.877,239.009,0.5914124845745112,0.5084686259067775,0.5834662232771566,0.6314817008579213,0.6066830728478989,0.6069927057503568
randomseed20,21.0,1.2,1.274,1.154,1.2,1.249,1.0,1.0,1.132,1.1,1.1,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.917,0.9,0.9,0.9,0.868,0.862,0.797,0.89,239.665,0.5841029277537702,0.48543051855005115,0.5834662232771566,0.6160051794977764,0.6066830728478989,0.6084140051945757
randomseed21,28.0,1.248,1.4,1.2,1.236,1.2,1.076,1.1,1.09,1.1,1.1,0.973,1.0,0.975,0.987,1.016,0.9,0.9,0.9,0.9,0.9,0.8,0.791,0.9,0.792,0.9,239.25,0.5825486632876817,0.5039058510638896,0.5834662232771566,0.6160051794977764,0.5838240468117639,0.6069927057503568
randomseed22,21.0,1.251,1.3,1.3,1.2,1.241,1.034,1.115,1.0,1.015,1.13,1.0,1.075,1.0,1.015,0.947,0.869,0.866,0.9,0.9,0.947,0.852,0.803,0.9,0.843,0.867,238.3,0.5907378849870043,0.5027186616302943,0.5791470046185123,0.6314817008579213,0.6127828616664013,0.6069927057503568
randomseed23,30.0,1.282,1.2,1.2,1.2,1.2,1.011,1.199,1.1,1.1,1.106,0.945,1.005,1.0,0.999,1.0,0.9,0.869,0.89,0.9,0.926,0.863,0.869,0.89,0.8,0.889,238.045,0.5853291135628418,0.48543051855005115,0.5834662232771566,0.6160051794977764,0.6127828616664013,0.6084140051945757
randomseed24,23.0,1.2,1.327,1.221,1.182,1.2,1.1,1.1,1.1,1.1,1.1,0.991,0.944,1.0,1.0,1.0,0.9,0.9,0.925,0.9,0.913,0.791,0.886,0.837,0.8,0.9,238.421,0.5934830999955307,0.5091191926826808,0.5834662232771566,0.6347460152228221,0.6127828616664013,0.6069927057503568
randomseed25,21.0,1.205,1.2,1.251,1.2,1.262,1.074,1.158,1.04,1.1,1.1,0.981,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.837,0.9,0.9,0.798,0.88,239.329,0.5833669570833466,0.5084686259067775,0.5834662232771566,0.6160051794977764,0.5838240468117639,0.6069927057503568
randomseed26,20.0,1.3,1.383,1.206,1.3,1.2,1.0,0.984,1.074,1.0,1.194,1.0,0.984,1.016,1.0,0.942,0.9,0.9,0.896,0.9,0.9,0.8,0.9,0.884,0.808,0.9,238.002,0.5863393836320607,0.5053774710323462,0.5838457808004065,0.6314817008579213,0.5838240468117639,0.6069927057503568
randomseed27,39.0,1.241,1.3,1.3,1.396,1.16,1.0,1.186,1.118,1.075,1.16,0.961,0.976,1.0,0.906,1.014,0.9,0.9,0.9,0.906,0.9,0.9,0.8,0.8,0.768,0.887,237.986,0.5841758746016064,0.4980818524846238,0.5791470046185123,0.630667064383613,0.5838240468117639,0.6084140051945757
randomseed28,19.0,1.203,1.3,1.3,1.3,1.152,1.1,1.171,1.1,1.1,1.1,0.99,1.0,1.0,0.945,1.0,0.9,0.9,0.907,0.879,0.948,0.8,0.8,0.8,0.8,0.9,238.786,0.5873255107214501,0.4980818524846238,0.5834662232771566,0.6160051794977764,0.6127828616664013,0.6069927057503568
randomseed29,24.0,1.19,1.219,1.204,1.2,1.2,1.1,1.099,1.2,1.1,1.1,0.974,1.0,1.0,1.0,1.0,0.884,1.0,0.9,0.9,0.917,0.841,0.8,0.8,0.8,0.898,239.07,0.5850300245959853,0.48543051855005115,0.5834662232771566,0.6160051794977764,0.6126506369926011,0.6069927057503568
randomseed30,42.0,1.2,1.2,1.3,1.227,1.239,1.191,1.199,1.1,1.1,1.1,0.938,0.999,1.019,1.0,0.982,0.928,0.943,0.9,0.9,0.9,0.753,0.8,0.8,0.778,0.9,239.275,0.5804138157752208,0.5027186616302943,0.5567818141653318,0.6314817008579213,0.5838240468117639,0.6069927057503568
randomseed31,47.0,1.2,1.296,1.236,1.163,1.253,1.085,1.139,1.11,1.1,1.1,1.0,0.967,0.958,1.0,1.0,0.9,0.952,0.9,0.916,0.9,0.813,0.805,0.897,0.806,0.881,238.36,0.5878962570656778,0.5027186616302943,0.5834662232771566,0.6160051794977764,0.6114853612936098,0.6069927057503568
randomseed32,34.0,1.2,1.2,1.224,1.2,1.266,1.103,1.135,1.118,1.1,1.005,1.0,1.0,0.943,0.934,0.991,0.958,0.9,0.907,0.9,0.945,0.727,0.9,0.9,0.847,0.9,238.543,0.590259634423484,0.5084686259067775,0.5716495050670601,0.6314817008579213,0.6127828616664013,0.6069927057503568
randomseed33,26.0,1.3,1.268,1.183,1.2,1.2,1.0,1.1,1.1,1.059,1.1,0.985,1.0,1.0,0.951,1.0,0.904,0.958,0.9,0.9,0.923,0.8,0.815,0.9,0.861,0.9,238.664,0.5841604450455764,0.48543051855005115,0.5791470046185123,0.6160051794977764,0.6126506369926011,0.6069927057503568
randomseed34,33.0,1.209,1.425,1.2,1.226,1.2,1.1,1.1,1.078,1.029,1.1,0.929,1.0,1.0,0.969,1.0,0.9,0.9,0.9,0.919,0.9,0.861,0.752,0.888,0.843,0.9,238.74,0.5862317673645806,0.5039058510638896,0.5791470046185123,0.6160051794977764,0.6051162204560284,0.6084140051945757
randomseed35,31.0,1.305,1.285,1.248,1.3,1.2,0.994,1.1,1.1,1.054,1.067,0.994,1.0,1.0,0.965,1.0,0.894,1.0,0.945,0.91,0.945,0.8,0.751,0.8,0.8,0.89,239.177,0.5794860783534012,0.5073152354433716,0.5593119942247081,0.6160051794977764,0.5897383227395618,0.6069927057503568
randomseed36,26.0,1.276,1.232,1.202,1.2,1.236,1.1,1.1,1.1,1.1,1.108,0.901,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9,0.897,0.8,0.9,0.8,0.8,0.886,238.973,0.5842033288790385,0.48543051855005115,0.5834662232771566,0.6160051794977764,0.6085381531804177,0.6069927057503568
randomseed37,33.0,1.2,1.2,1.2,1.184,1.305,1.1,0.999,1.1,1.083,1.14,0.996,0.999,1.0,1.023,0.978,0.9,0.999,0.9,0.896,0.9,0.8,0.884,0.876,0.8,0.839,239.258,0.5902630169166843,0.5020592383009681,0.5834662232771566,0.6314817008579213,0.6066830728478989,0.6069927057503568
randomseed38,31.0,1.258,1.232,1.315,1.199,1.235,1.0,1.195,1.1,1.093,1.1,0.97,0.97,1.0,1.0,1.0,0.92,0.97,0.909,0.9,0.9,0.851,0.8,0.8,0.8,0.9,238.604,0.5869308961132891,0.5027186616302943,0.5834662232771566,0.6160051794977764,0.6066830728478989,0.6069927057503568
randomseed39,28.0,1.226,1.294,1.3,1.2,1.3,1.084,1.042,1.1,1.1,1.1,0.992,1.0,1.0,1.0,0.948,0.903,1.0,0.9,0.9,0.9,0.8,0.8,0.811,0.789,0.9,238.4,0.5914124845745112,0.5084686259067775,0.5834662232771566,0.6314817008579213,0.6066830728478989,0.6069927057503568
randomseed40,70.0,1.286,1.291,1.338,1.129,1.161,1.1,1.1,1.1,1.1,1.1,0.898,1.02,1.0,1.0,0.964,0.891,0.985,0.9,0.937,0.934,0.8,0.758,0.8,0.8,0.934,238.081,0.5893103310901207,0.48587947634531203,0.5834662232771566,0.6314817008579213,0.5993846583259901,0.624809983650576
randomseed41,35.0,1.2,1.2,1.21,1.164,1.2,1.1,1.162,1.161,1.1,1.122,1.0,0.98,1.0,0.962,1.0,0.9,0.941,0.935,0.9,0.9,0.785,0.85,0.8,0.845,0.9,239.308,0.5823357512371771,0.5027186616302943,0.5834662232771566,0.6160051794977764,0.5838240468117639,0.6069927057503568
randomseed42,27.0,1.2,1.2,1.2,1.2,1.2,1.1,1.127,1.1,1.1,1.127,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.979,0.894,0.9,0.8,0.9,0.8,0.801,0.9,238.75,0.5842033288790385,0.48543051855005115,0.5834662232771566,0.6160051794977764,0.6085381531804177,0.6069927057503568
randomseed43,20.0,1.2,1.21,1.245,1.21,1.188,1.1,1.073,1.165,1.087,1.1,0.94,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.965,0.859,0.9,0.799,0.8,0.849,240.581,0.5884295909495756,0.5027186616302943,0.5834662232771566,0.6160051794977764,0.6127828616664013,0.6084140051945757
randomseed44,40.0,1.2,1.34,1.3,1.2,1.224,1.098,1.1,1.1,1.083,1.1,0.984,0.965,1.018,1.0,1.0,0.882,0.965,0.9,0.9,0.9,0.832,0.8,0.801,0.793,0.9,238.819,0.5880787754256538,0.5091191926826808,0.5834662232771566,0.6160051794977764,0.6066830728478989,0.6069927057503568
randomseed45,18.0,1.2,1.241,1.2,1.475,1.2,1.1,1.1,1.074,1.137,1.1,0.961,1.0,1.0,1.0,0.999,0.937,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.709,0.9,238.927,0.5775767466918462,0.504647974827485,0.5834662232771566,0.6160051794977764,0.5838240468117639,0.5803669900417054
randomseed46,15.0,1.194,1.234,1.238,1.3,1.3,1.002,1.1,1.1,1.129,1.041,1.0,1.0,1.0,0.967,1.0,0.9,0.9,0.9,0.903,0.9,0.9,0.9,0.863,0.74,0.9,238.982,0.5804183395508358,0.5054593973936207,0.5741120005079455,0.6160051794977764,0.5838240468117639,0.6042510084585291
randomseed47,27.0,1.2,1.2,1.2,1.1,1.304,1.0,1.1,1.1,1.037,1.092,1.0,1.026,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.883,0.9,0.87,239.589,0.5816204189023255,0.5020592383009681,0.5791470046185123,0.6160051794977764,0.5838240468117639,0.6084140051945757
randomseed48,19.0,1.2,1.376,1.2,1.2,1.3,1.1,1.112,1.1,1.1,1.037,1.0,1.0,0.997,0.946,1.0,0.9,0.9,0.9,0.881,0.9,0.8,0.8,0.883,0.866,0.9,238.84,0.5815239633038438,0.508693186374833,0.5741120005079455,0.6160051794977764,0.5838240468117639,0.6069927057503568
randomseed49,35.0,1.3,1.2,1.2,1.3,1.211,1.0,1.007,1.1,1.052,1.178,0.941,1.0,0.975,1.0,0.948,0.881,1.0,0.975,0.9,0.9,0.875,0.9,0.827,0.769,0.9,237.742,0.590206022150644,0.4977512113765089,0.5838457808004065,0.6314817008579213,0.6085071986522512,0.6084140051945757
randomseed50,38.0,1.26,1.2,1.186,1.1,1.3,1.154,1.159,1.041,1.03,1.1,0.916,1.0,1.041,1.0,1.0,0.916,0.895,0.896,0.9,0.9,0.726,0.875,0.896,0.9,0.858,238.499,0.5793909551502734,0.5020592383009681,0.5694267721709283,0.6160051794977764,0.5838240468117639,0.6069927057503568
randomseed51,35.0,1.2,1.307,1.184,1.242,1.2,1.1,1.037,1.1,1.1,1.1,1.0,1.0,1.0,0.9,1.0,0.9,0.9,0.9,0.9,0.944,0.8,0.9,0.886,0.853,0.874,238.328,0.5883253696241609,0.48543051855005115,0.5834662232771566,0.630667064383613,0.6127828616664013,0.6069927057503568
randomseed52,28.0,1.3,1.17,1.2,1.2,1.2,1.1,1.17,1.1,1.068,1.1,0.902,1.0,1.0,0.997,1.0,0.9,0.9,0.892,0.942,0.92,0.8,0.89,0.892,0.769,0.9,238.901,0.584835097985262,0.48543051855005115,0.5791470046185123,0.6160051794977764,0.6160067681983439,0.6069927057503568
randomseed53,18.0,1.2,1.2,1.2,1.2,1.238,1.101,1.1,1.055,1.1,1.1,1.0,1.034,1.013,1.0,1.0,1.0,0.9,0.899,0.9,0.9,0.707,0.9,0.899,0.798,0.9,239.419,0.5792352738504434,0.48543051855005115,0.5834662232771566,0.6160051794977764,0.5838240468117639,0.6069927057503568
randomseed54,24.0,1.207,1.29,1.2,1.2,1.273,1.032,1.13,1.038,1.0,1.095,0.977,0.993,1.038,1.0,0.968,0.977,0.956,0.9,0.9,0.9,0.8,0.8,0.9,0.868,0.9,239.147,0.5893934373662755,0.5020592383009681,0.5791470046185123,0.6314817008579213,0.6066830728478989,0.6069927057503568
randomseed55,42.0,1.222,1.2,1.2,1.2,1.24,1.115,1.087,1.088,1.1,1.096,0.955,1.0,1.0,1.0,1.0,0.9,0.933,0.9,0.9,0.9,0.8,0.9,0.89,0.795,0.897,237.821,0.5738629557734345,0.48543051855005115,0.5567818141653318,0.6160051794977764,0.5838240468117639,0.6069927057503568
randomseed56,30.0,1.15,1.35,1.341,1.2,1.263,1.1,1.1,1.158,1.1,1.044,1.0,0.953,1.0,1.0,1.007,0.952,0.953,0.84,0.9,0.9,0.8,0.808,0.8,0.8,0.9,238.666,0.5851030657129092,0.5030277725191905,0.5741120005079455,0.6160051794977764,0.6066830728478989,0.6069927057503568
